IP,Puerto,Dominio,Resolucion,Tiempo,Recursivo,Amplificacion,ReqSize,RespSize
2a02:e980:a::57e4,53,google.com,ERROR,,False,False,0,0
2a02:e980:a::57e4,53,example.com,ERROR,,False,False,0,0
188.72.6.126,53,google.com,ERROR,,False,False,0,0
188.72.6.126,53,example.com,ERROR,,False,False,0,0
162.144.17.229,53,google.com,ERROR,,False,False,0,0
162.144.17.229,53,example.com,ERROR,,False,False,0,0
162.159.22.50,53,google.com,ERROR,,False,False,0,0
162.159.22.50,53,example.com,ERROR,,False,False,0,0
207.246.74.138,53,google.com,ERROR,,False,False,0,0
207.246.74.138,53,example.com,ERROR,,False,False,0,0
74.118.32.3,53,google.com,ERROR,,False,False,0,0
74.118.32.3,53,example.com,ERROR,,False,False,0,0
144.91.72.98,53,google.com,ERROR,,False,False,0,0
144.91.72.98,53,example.com,ERROR,,False,False,0,0
181.119.56.61,53,google.com,ERROR,,False,False,0,0
181.119.56.61,53,example.com,ERROR,,False,False,0,0
192.185.103.62,53,google.com,ERROR,,False,False,0,0
192.185.103.62,53,example.com,ERROR,,False,False,0,0
185.238.130.233,53,google.com,ERROR,,False,False,0,0
185.238.130.233,53,example.com,ERROR,,False,False,0,0
92.180.172.120,53,google.com,ERROR,,False,False,0,0
92.180.172.120,53,example.com,ERROR,,False,False,0,0
89.117.144.33,53,google.com,ERROR,,False,False,0,0
89.117.144.33,53,example.com,ERROR,,False,False,0,0
45.223.17.41,53,google.com,ERROR,,False,False,0,0
45.223.17.41,53,example.com,ERROR,,False,False,0,0
39.61.182.157,53,google.com,ERROR,,False,False,0,0
39.61.182.157,53,example.com,ERROR,,False,False,0,0
128.199.133.2,53,google.com,ERROR,,False,False,0,0
128.199.133.2,53,example.com,ERROR,,False,False,0,0
80.248.232.87,53,google.com,ERROR,,False,False,0,0
80.248.232.87,53,example.com,ERROR,,False,False,0,0
185.23.215.60,53,google.com,ERROR,,False,False,0,0
185.23.215.60,53,example.com,ERROR,,False,False,0,0
34.116.4.4,53,google.com,ERROR,,False,False,0,0
34.116.4.4,53,example.com,ERROR,,False,False,0,0
23.200.27.31,53,google.com,ERROR,,False,False,0,0
23.200.27.31,53,example.com,ERROR,,False,False,0,0
180.100.251.78,53,google.com,ERROR,,False,False,0,0
180.100.251.78,53,example.com,ERROR,,False,False,0,0
121.143.143.243,53,google.com,ERROR,,False,False,0,0
121.143.143.243,53,example.com,ERROR,,False,False,0,0
204.188.239.237,53,google.com,ERROR,,False,False,0,0
204.188.239.237,53,example.com,ERROR,,False,False,0,0
221.168.152.84,53,google.com,ERROR,,False,False,0,0
221.168.152.84,53,example.com,ERROR,,False,False,0,0
173.232.210.227,53,google.com,ERROR,,False,False,0,0
173.232.210.227,53,example.com,ERROR,,False,False,0,0
45.54.43.8,53,google.com,ERROR,,False,False,0,0
45.54.43.8,53,example.com,ERROR,,False,False,0,0
103.61.252.116,53,google.com,ERROR,,False,False,0,0
103.61.252.116,53,example.com,ERROR,,False,False,0,0
45.223.170.149,53,google.com,ERROR,,False,False,0,0
45.223.170.149,53,example.com,ERROR,,False,False,0,0
103.94.10.147,53,google.com,ERROR,,False,False,0,0
103.94.10.147,53,example.com,ERROR,,False,False,0,0
216.194.171.207,53,google.com,ERROR,,False,False,0,0
216.194.171.207,53,example.com,ERROR,,False,False,0,0
144.6.27.155,53,google.com,ERROR,,False,False,0,0
144.6.27.155,53,example.com,ERROR,,False,False,0,0
185.11.244.66,53,google.com,ERROR,,False,False,0,0
185.11.244.66,53,example.com,ERROR,,False,False,0,0
95.164.172.84,53,google.com,ERROR,,False,False,0,0
95.164.172.84,53,example.com,ERROR,,False,False,0,0
107.154.121.252,53,google.com,ERROR,,False,False,0,0
107.154.121.252,53,example.com,ERROR,,False,False,0,0
129.121.15.116,53,google.com,ERROR,,False,False,0,0
129.121.15.116,53,example.com,ERROR,,False,False,0,0
191.102.130.121,53,google.com,ERROR,,False,False,0,0
191.102.130.121,53,example.com,ERROR,,False,False,0,0
103.4.40.202,53,google.com,ERROR,,False,False,0,0
103.4.40.202,53,example.com,ERROR,,False,False,0,0
207.58.178.137,53,google.com,ERROR,,False,False,0,0
207.58.178.137,53,example.com,ERROR,,False,False,0,0
203.161.56.148,53,google.com,ERROR,,False,False,0,0
203.161.56.148,53,example.com,ERROR,,False,False,0,0
95.86.116.237,53,google.com,ERROR,,False,False,0,0
95.86.116.237,53,example.com,ERROR,,False,False,0,0
2a02:e980:37::72,53,google.com,ERROR,,False,False,0,0
2a02:e980:37::72,53,example.com,ERROR,,False,False,0,0
85.204.234.44,53,google.com,ERROR,,False,False,0,0
85.204.234.44,53,example.com,ERROR,,False,False,0,0
45.223.35.43,53,google.com,ERROR,,False,False,0,0
45.223.35.43,53,example.com,ERROR,,False,False,0,0
194.58.108.222,53,google.com,ERROR,,False,False,0,0
194.58.108.222,53,example.com,ERROR,,False,False,0,0
185.50.73.51,53,google.com,ERROR,,False,False,0,0
185.50.73.51,53,example.com,ERROR,,False,False,0,0
202.159.32.2,53,google.com,ERROR,,False,False,0,0
202.159.32.2,53,example.com,ERROR,,False,False,0,0
34.43.179.71,53,google.com,ERROR,,False,False,0,0
34.43.179.71,53,example.com,ERROR,,False,False,0,0
185.105.85.75,53,google.com,ERROR,,False,False,0,0
185.105.85.75,53,example.com,ERROR,,False,False,0,0
144.217.179.204,53,google.com,ERROR,,False,False,0,0
144.217.179.204,53,example.com,ERROR,,False,False,0,0
216.38.58.79,53,google.com,ERROR,,False,False,0,0
216.38.58.79,53,example.com,ERROR,,False,False,0,0
34.111.157.71,53,google.com,ERROR,,False,False,0,0
34.111.157.71,53,example.com,ERROR,,False,False,0,0
